epoch,train_loss,val_loss,lr,overall_accuracy,mean_accuracy,mean_iou,mean_precision,mean_recall,mean_f1_score
1,0.6665090294693263,0.6702030143745069,0.02,0.6764859247611258,0.6084103037852634,0.4302882866418007,0.5696058867272624,0.6084103037852634,0.5784450518508263
2,0.6632044326947445,0.6707588740125192,0.02,0.690222325810095,0.6078321980377732,0.4396501425493953,0.577133828634173,0.6078321980377732,0.5865810376757908
3,0.6602142882127141,0.662592227891891,0.0196,0.6933186075599133,0.6163982540402291,0.44424087630376813,0.5812170655464001,0.6163982540402291,0.5909839068440359
4,0.6559804807498723,0.6688873612626038,0.0196,0.6932258703815496,0.6116698330622496,0.44276005217075426,0.5798079349873557,0.6116698330622496,0.5892924449374657
