Metric,Value
Overall Accuracy,0.8063557102967591
Mean Accuracy,0.6458821286216572
Mean IoU,0.5141606866616579
mean Precision,0.6466375736517183
mean Recall,0.6458821286216572
Mean F1 Score,0.6395603854125652
