Class,Accuracy,IoU,Precision,Recall,F1 Score
non-field,0.9152017393426648,0.7854073075574215,0.8470488507512575,0.9152017393426648,0.8798074301957696
field,0.6523900722104268,0.5739484992155073,0.8267938648214966,0.6523900722104268,0.7293103929405271
field boundary,0.3700545743118799,0.18312625321204495,0.26607000538240067,0.3700545743118799,0.3095633331013986
