Class,Accuracy,IoU,Precision,Recall,F1 Score
non-field,0.8922818437834005,0.7865497531875054,0.8690715314421644,0.8922818437834005,0.8805237601518439
field,0.685023674905617,0.5849656503382663,0.8001929899922215,0.685023674905617,0.7381430004030962
field boundary,0.4222303324534675,0.18763290519536263,0.2524500251701012,0.4222303324534675,0.3159779497091275
