Metric,Value
Overall Accuracy,0.8046788413399067
Mean Accuracy,0.6665119503808283
Mean IoU,0.5197161029070448
mean Precision,0.640571515534829
mean Recall,0.6665119503808283
Mean F1 Score,0.6448815700880225
