Metric,Value
Overall Accuracy,0.8040484013127723
Mean Accuracy,0.6547663417229584
Mean IoU,0.5161366740707329
mean Precision,0.6393103816406812
mean Recall,0.6547663417229584
Mean F1 Score,0.6418123767939533
