Class,Accuracy,IoU,Precision,Recall,F1 Score
non-field,0.8935016945975087,0.7814653399348871,0.8617307906175781,0.8935016945975087,0.8773287051023398
field,0.685742034826126,0.5817224201353643,0.7931732431639797,0.685742034826126,0.7355556357171448
field boundary,0.38505529574524067,0.18522226214194729,0.26302711114048605,0.38505529574524067,0.31255278956237537
