Class,Accuracy,IoU,Precision,Recall,F1 Score
non-field,0.8823235410809462,0.7826553231810915,0.8738733709991547,0.8823235410809462,0.8780781264933123
field,0.7125742108788538,0.594913293816118,0.7827454007200418,0.7125742108788538,0.7460133364274374
field boundary,0.39594809074782933,0.18648405345681657,0.2606335074204931,0.39594809074782933,0.31434734063807435
