Metric,Value
Overall Accuracy,0.8061161042717648
Mean Accuracy,0.6636152809025431
Mean IoU,0.5213508901513421
mean Precision,0.6390840930465632
mean Recall,0.6636152809025431
Mean F1 Score,0.6461462678529414
