epoch,train_loss,val_loss,lr,overall_accuracy,mean_accuracy,mean_iou,mean_precision,mean_recall,mean_f1_score
1,0.665380290934914,0.6905128117650747,0.02,0.7903085486912156,0.6841694618650425,0.5153684809187205,0.629277145654068,0.6841694618650425,0.6407854065471552
2,0.6554566615506222,0.6854303609579802,0.02,0.797780665811285,0.6823372457049244,0.5220809746269791,0.6345820341694658,0.6823372457049244,0.6468671736648329
3,0.6454706505725258,0.6886621443554759,0.0196,0.8051536063412519,0.6799620072811973,0.5266881276189731,0.6435653332840499,0.6799620072811973,0.6504473837807404
4,0.6393146859972101,0.6813207985833287,0.0196,0.7972884064693071,0.6827583134529701,0.5199888883808381,0.6394638322930054,0.6827583134529701,0.6450542810663638
5,0.6306422923740588,0.6909724920988083,0.0196,0.7994113684258288,0.6753225106265498,0.5210430700464898,0.6378445255467481,0.6753225106265498,0.6462882497213375
6,0.6229355611299213,0.690969186834991,0.019208,0.7811624032023877,0.6752136586976735,0.5074991622959727,0.6200206106194622,0.6752136586976735,0.6357634097659671
7,0.615699091083125,0.6842014817520976,0.019208,0.7927429834334919,0.6749571879814601,0.515089148343219,0.6325468535681685,0.6749571879814601,0.6418928214088501
8,0.6074488915895161,0.7289522495120764,0.019208,0.797379390553158,0.6265450078558773,0.5025999713451137,0.6403905024505253,0.6265450078558773,0.628877301118674
9,0.6025297867624383,0.6983152870088816,0.018823839999999998,0.7982833233342744,0.6437257095771353,0.5078419224883356,0.6474897973728861,0.6437257095771353,0.635137598795341
10,0.5951214175475271,0.6950044967234135,0.018823839999999998,0.7963443776720174,0.6639011069573363,0.5151367625173882,0.6352805862611941,0.6639011069573363,0.6419089689347786
