Class,Accuracy,IoU,Precision,Recall,F1 Score
non-field,0.9065764767817445,0.7876223033893341,0.8571968469807274,0.9065764767817445,0.8811954313794377
field,0.6855636005086765,0.5878341700983843,0.8048249785301751,0.6855636005086765,0.7404226224227953
field boundary,0.34413729301228135,0.17972512825604578,0.27335585084508085,0.34413729301228135,0.30468983655833176
