epoch,train_loss,val_loss,lr,overall_accuracy,mean_accuracy,mean_iou,mean_precision,mean_recall,mean_f1_score
1,0.6704108122906653,0.68361263181649,0.02,0.7896959225266194,0.6758075019415496,0.5123089725972215,0.6267003667485399,0.6758075019415496,0.6381636342398985
2,0.6623445133757747,0.6901865367795906,0.02,0.761403102187021,0.6667182698561219,0.48876765929171895,0.6055377681258393,0.6667182698561219,0.6210784689689482
3,0.6543588934381024,0.6820394186412587,0.0196,0.7945283196035331,0.6753397569168095,0.5173844124302078,0.6311152144167463,0.6753397569168095,0.6433424632551065
4,0.6481936757081475,0.6811337564505783,0.0196,0.7918802495059288,0.6746170894744252,0.5130674514086965,0.6327199168016236,0.6746170894744252,0.6393834066490268
5,0.6433511586750255,0.679683152367087,0.0196,0.7639986299608776,0.6893786993478392,0.494505506737527,0.6143977358861866,0.6893786993478392,0.624571391602299
6,0.6354562776540619,0.6952040522706275,0.019208,0.7841634600356941,0.6579404474898138,0.502448497215566,0.6254818596851569,0.6579404474898138,0.6316404349502637
7,0.6287527411591773,0.6800442115933287,0.019208,0.7858649017907559,0.6703862369758941,0.5071767456236362,0.6262871812044107,0.6703862369758941,0.6352070359846765
8,0.6237304319743238,0.685100700341019,0.019208,0.8047810836291038,0.6706138142847683,0.5251921157786367,0.6395267437153224,0.6706138142847683,0.6490965533736216
9,0.6157833049499911,0.6894430412965662,0.018823839999999998,0.7800226207701461,0.6551410153544887,0.4949271799376335,0.6301151500724951,0.6551410153544887,0.6253640960892334
10,0.6113208111594705,0.6983985690509572,0.018823839999999998,0.8074181253529079,0.6532188432333458,0.5208804158647379,0.6466124204063196,0.6532188432333458,0.6451471770231181
