epoch,train_loss,val_loss,lr,overall_accuracy,mean_accuracy,mean_iou,mean_precision,mean_recall,mean_f1_score
1,0.6653970272917497,0.6908722976222634,0.02,0.790753386025853,0.6838411403126904,0.5157764439538685,0.6293628581222527,0.6838411403126904,0.6411838530128701
2,0.6552775922574495,0.6881706127896905,0.02,0.7893436447578043,0.6746489680706106,0.5120865976777491,0.6287703876883481,0.6746489680706106,0.6391689888147788
3,0.6456805956991095,0.6917111380025744,0.0196,0.8004058914203033,0.676054654651619,0.5201770206855365,0.6413193989120297,0.676054654651619,0.6449802979065676
4,0.6402310936074508,0.6810961551964283,0.0196,0.79352654939199,0.6827955173241879,0.5162039876645877,0.637519580088863,0.6827955173241879,0.641832002325077
5,0.6304554493803727,0.6921986760571599,0.0196,0.7922998003549245,0.6713898216054094,0.5135686707325452,0.6323572083443142,0.6713898216054094,0.6407264487132351
6,0.6236432853497957,0.6959572471678257,0.019208,0.7861095741409212,0.6684648891796995,0.5099275961938722,0.622346984556624,0.6684648891796995,0.6374113543848196
7,0.6167579205412613,0.6860747495666146,0.019208,0.7995498532911188,0.6756671820131311,0.5209987211298606,0.6388565467229429,0.6756671820131311,0.6465337207684198
8,0.6092799368657564,0.7056674584746361,0.019208,0.8018517899995967,0.645476745326914,0.5120991391422799,0.6466039511956131,0.645476745326914,0.6380269418260007
9,0.6038521020035995,0.6877102050930262,0.018823839999999998,0.7958306917752279,0.6671163724927478,0.5143159867761092,0.6387330817606168,0.6671163724927478,0.6410301716915248
10,0.595285291420786,0.6934749772772193,0.018823839999999998,0.7943207498537953,0.6660986478521324,0.5126035847746978,0.6365315509902376,0.6660986478521324,0.6396592061395552
