Metric,Value
Overall Accuracy,0.8104688724155392
Mean Accuracy,0.6454257901009007
Mean IoU,0.5183938672479215
mean Precision,0.6451258921186611
mean Recall,0.6454257901009007
Mean F1 Score,0.6421026301201883
